cnyindex,meanGDP,population,firstNum,secondNum,thirdNum,fourNum,fiveNum,totalsale,Name,Class_1,Class_2,Class_3,Class_4,Class_5
1,10159,24.26,1489093,277800,1326209,368071,0,3461173,道真仡佬族苗族自治县,,,,,
2,11042,44.96,1296321,191536,1423071,456027,0,3366955,沿河土家族自治县,,,,,
3,8924,31.7,2332529,547862,1483398,347603,5,4711397,务川仡佬族苗族自治县,,,,,
4,14455,51.94,3827716,957340,3434990,1369840,0,9589886,桐梓县,,,,,
5,9342,38.14,2537968,741450,2381773,611705,0,6272896,正安县,,,,,
6,14396,51.77,4722343,1936079,3576824,1204935,0,11440181,习水县,,,,,
7,20716,23.92,2000296,1182016,2381876,772030,65,6336283,赤水市,,,,,
8,13779,36.71,1886013,787143,1280524,441862,0,4395542,德江县,,,,,
9,12682,48.59,2119153,994363,3443051,1166415,0,7722982,松桃苗族自治县,,,,,
10,12946,38.06,2176558,564547,2294896,683527,0,5719528,绥阳县,,,,,
11,14269,28.35,2183242,910376,1926621,594228,0,5614467,印江土家族苗族自治县,,,,,
12,10501,30.83,2005650,464897,1987001,614753,0,5072301,凤冈县,,,,,
13,11805,37.46,2303163,584210,2165732,813679,0,5866784,湄潭县,,,,,
14,12541,49.79,2135413,273582,2800546,1120426,0,6329967,思南县,,,,,
15,60177,54.76,6502326,1816820,3810319,893012,0,13022477,仁怀市,,,,,
16,36523,45.01,5696592,1750123,2734795,456379,0,10637889,汇川区,,,,,
17,20623,93.23,5906688,2144386,5951986,2023074,0,16026134,遵义县,,,,,
18,13484,17.29,715634,257137,1040362,366725,0,2379858,江口县,,,,,
19,26359,30.24,3741182,710017,2351931,651904,0,7455034,碧江区,,,,,
20,33058,67.17,7516646,2853522,4347604,720720,0,15438492,红花岗区,,,,,
21,18875,11.33,544045,241828,681241,216697,0,1683811,万山区,,,,,
22,16306,113.2,11844854,5206819,10431852,4854351,11234,32349110,七星关区,,,3,4,5
23,18875,11.33,544045,241828,681241,216697,0,1683811,万山区,,,,,
24,10627,30.35,1258458,166164,1370225,595080,38,3389965,石阡县,,,,,
25,23352,55.47,3538396,1154863,3021170,1148685,4014,8867128,金沙县,,,,,
26,15636,23.45,1487124,354032,1704587,633609,26,4179378,余庆县,,,,,
