season,city,一类烟销量(万箱),二类烟销量(万箱),三类烟销量(万箱),四类烟销量(万箱),五类烟销量(万箱),first,second,third,forth,fifth,totalsale,income,price,GDP,invest
2011Q1,六盘水市,0.3425,0.0809,1.8744,0.7965,0.4097,3425,809,18744,7965,4097,35093.0279,709090776.3,20206.03005,99.51,63.52
2011Q1,安顺市,0.2033,0.0644,1.5913,0.826,0.606,2033,644,15913,8260,6060,32913.6676,562793228,17099.0737,37.73,25.03
2011Q1,毕节市,0.4045,0.1499,1.6924,3.5025,1.6914,4045,1499,16924,35025,16914,74414.6365,1135309115,15256.52974,145.1,98.02
2011Q1,贵阳市,0.8185,0.5237,2.8945,1.6894,0.9419,8185,5237,28945,16894,9419,68711.757,1527869447,22235.92459,258.59,244.15
2011Q1,遵义市,0.66,0.075,2.4483,2.9386,1.5946,6600,750,24483,29386,15946,77164.904,1345226945,17433.14479,200.07,100.24
2011Q1,铜仁市,0.2751,0.0506,2.443,0.2664,1.1716,2751,506,24430,2664,11716,42066.8248,720138955,17118.92824,51.5,31.21
2011Q1,黔东南州,0.2438,0.0484,2.4292,0.3509,1.0729,2438,484,24292,3509,10729,41851.4291,657858757.3,15718.90785,63.82,47.21
2011Q1,黔南州,0.2045,0.0924,2.1006,0.3568,1.1564,2045,924,21006,3568,11564,39309.1624,604868586,15387.47073,68.24,60.22
2011Q1,黔西南州,0.1556,0.0256,1.2441,1.15,0.8662,1556,256,12441,11500,8662,34414.9082,514974184.5,14963.69485,53.83,55.37
2011Q2,六盘水市,0.247,0.0637,1.3591,0.4968,0.2832,2470,637,13591,4968,2832,24501.6389,497107137.5,20288.73005,129.18,112.54
2011Q2,安顺市,0.1638,0.0499,1.087,0.6408,0.3802,1638,499,10870,6408,3802,24220.8658,423346353.5,17478.58053,59.19,51.22
2011Q2,毕节市,0.3103,0.1182,1.2066,1.8988,0.821,3103,1182,12066,18988,8210,43569.1799,739466514,16972.23853,159.25,175.09
2011Q2,贵阳市,0.6458,0.4484,2.6104,1.3098,0.5147,6458,4484,26104,13098,5147,56734.1432,1247510501,21988.70787,297.54,394.1
2011Q2,遵义市,0.4343,0.0724,1.5391,2.193,0.9012,4343,724,15391,21930,9012,53712.762,917161018.5,17075.29057,282.29,211.72
2011Q2,铜仁市,0.1977,0.0452,1.2704,0.1498,0.6984,1977,452,12704,1498,6984,23815.4608,436267604,18318.67154,74,80.62
2011Q2,黔东南州,0.1811,0.0405,1.5435,0.1504,0.807,1811,405,15435,1504,8070,27976.0866,446966325.7,15976.72798,89.03,101.4
2011Q2,黔南州,0.1705,0.0854,1.6214,0.3076,0.8669,1705,854,16214,3076,8669,30939.0439,479985923.5,15513.92231,109.87,105.06
2011Q2,黔西南州,0.1298,0.0221,0.9464,0.7338,0.4927,1298,221,9464,7338,4927,23330.9862,373393036.9,16004.1686,95.11,75.61
2011Q3,六盘水市,0.3008,0.078,1.3794,0.5436,0.1967,3008,780,13794,5436,1967,24996.8774,554850067.8,22196.77518,146.13,96.71
2011Q3,安顺市,0.1996,0.0604,1.2839,0.679,0.3203,1996,604,12839,6790,3203,25439.2141,481386344.5,18923.00378,79.87,36.47
2011Q3,毕节市,0.3698,0.1362,1.3972,2.088,0.7768,3698,1362,13972,20880,7768,47697.8198,848800770.5,17795.37878,161.92,155.3
2011Q3,贵阳市,0.8305,0.5497,3.0018,1.4915,0.3839,8305,5497,30018,14915,3839,63104.6254,1502323972,23806.87568,394.43,382.74
2011Q3,遵义市,0.5705,0.0886,1.9466,2.435,0.7327,5705,886,19466,24350,7327,57979.9626,1096018752,18903.40565,310.54,145.45
2011Q3,铜仁市,0.2402,0.0542,1.4195,0.362,0.4402,2402,542,14195,3620,4402,25161.7044,510492547,20288.47247,89.94,85.63
2011Q3,黔东南州,0.2249,0.0523,1.8721,0.4242,0.4651,2249,523,18721,4242,4651,30446.1564,535506382.5,17588.63666,91.7,97.04
2011Q3,黔南州,0.2075,0.1051,1.7423,0.4979,0.4066,2075,1051,17423,4979,4066,29623.3005,535476115,18076.1801,134.3,89.86
2011Q3,黔西南州,0.1696,0.0297,1.1136,0.9891,0.184,1696,297,11136,9891,1840,24862.8918,446749662.5,17968.53182,80.79,72.51
2011Q4,六盘水市,0.2173,0.0678,1.0648,0.3468,0.1754,2173,678,10648,3468,1754,18743.814,412678425.5,22016.7798,238.57,167.3
2011Q4,安顺市,0.1581,0.0656,1.1006,0.3906,0.1488,1581,656,11006,3906,1488,18679.0849,377319537.5,20200.10828,146.49,52.84
2011Q4,毕节市,0.315,0.1115,1.1719,1.5988,0.3706,3150,1115,11719,15988,3706,35700.511,680904468.5,19072.6813,271.14,202.41
2011Q4,贵阳市,0.6725,0.3962,2.2483,1.0006,0.1755,6725,3962,22483,10006,1755,45008.8394,1121915230,24926.55321,432.51,395.63
2011Q4,遵义市,0.521,0.0816,1.5625,1.9472,0.5005,5210,816,15625,19472,5005,46197.3386,920398053.1,19923.18348,328.26,227.9
2011Q4,铜仁市,0.1917,0.0428,1.0363,0.2238,0.3254,1917,428,10363,2238,3254,18200.316,371301456,20400.82469,142.28,102.55
